,Low,Medium,High,sum_real,sum_pred,Low,Medium,High,sum_real,sum_pred,name
Low,265,641,266,1172,1911,0.03357830714647744,0.08122149011657374,0.03370501773948302,0.1485048150025342,0.24214394323365435,CURB_All_SVM
Medium,1443,3136,1358,5937,4185,0.18284338570704511,0.397364419665484,0.17207298530157122,0.7522807906741004,0.5302838317283325,CURB_All_SVM
High,203,408,172,783,1796,0.02572225038013178,0.051697921946274705,0.021794221996958945,0.09921439432336543,0.22757222503801317,CURB_All_SVM
Low,220,782,170,1172,1558,0.027876330461226558,0.09908768373035985,0.021540800810947794,0.1485048150025342,0.19741510390268627,CURB_All_XGB
Medium,1175,3869,893,5937,5169,0.14888494678155093,0.49024328433857073,0.11315255955397871,0.7522807906741004,0.6549670552458186,CURB_All_XGB
High,163,518,102,783,1165,0.020653826659908767,0.06563608717688799,0.012924480486568676,0.09921439432336543,0.14761784085149518,CURB_All_XGB
Low,338,453,381,1172,2359,0.04282818043588444,0.057399898631525594,0.048276735935124174,0.1485048150025342,0.29891028890015203,CURB_All_LSTM
Medium,1773,2196,1968,5937,2946,0.22465788139888496,0.2782564622402433,0.24936644703497213,0.7522807906741004,0.37328940699442476,CURB_All_LSTM
High,248,297,238,783,2587,0.031424227065382664,0.037633046122655854,0.030157121135326915,0.09921439432336543,0.3278003041054232,CURB_All_LSTM
Low,501,344,327,1172,3332,0.06348200709579321,0.04358844399391789,0.04143436391282311,0.1485048150025342,0.4221996958945768,CURB_All_GRU
Medium,2478,1757,1702,5937,2335,0.3139888494678155,0.22263051191079575,0.2156614292954891,0.7522807906741004,0.29586923466801823,CURB_All_GRU
High,353,234,196,783,2225,0.04472883933096807,0.029650278763304613,0.02483527622909275,0.09921439432336543,0.281931069437405,CURB_All_GRU
Low,43,15,311,369,287,0.016975917883932098,0.005921831819976312,0.12277931306750889,0.1456770627714173,0.11330438215554678,CURB_u_65_SVM
Medium,221,111,1566,1898,135,0.087248322147651,0.043821555467824715,0.618239242005527,0.7493091196210028,0.05329648637978682,CURB_u_65_SVM
High,23,9,234,266,2111,0.009080142123963679,0.0035530990919857876,0.09238057639163048,0.10501381760757994,0.8333991314646664,CURB_u_65_SVM
Low,90,61,218,369,649,0.035530990919857876,0.024082116067903673,0.08606395578365575,0.1456770627714173,0.2562179234109751,CURB_u_65_XGB
Medium,490,300,1108,1898,394,0.1934465061192262,0.11843663639952626,0.4374259771022503,0.7493091196210028,0.15554678247137782,CURB_u_65_XGB
High,69,33,164,266,1490,0.027240426371891037,0.013028030003947888,0.06474536123174102,0.10501381760757994,0.5882352941176471,CURB_u_65_XGB
Low,110,65,194,369,683,0.04342676667982629,0.025661271219897353,0.07658902487169364,0.1456770627714173,0.26964074220292145,CURB_u_65_LSTM
Medium,514,401,983,1898,519,0.2029214370311883,0.15831030398736676,0.3880773786024477,0.7493091196210028,0.20489538097118043,CURB_u_65_LSTM
High,59,53,154,266,1331,0.02329253849190683,0.020923805763916305,0.06079747335175681,0.10501381760757994,0.5254638768258981,CURB_u_65_LSTM
Low,185,71,113,369,1226,0.07303592577970786,0.02803000394788788,0.044611133043821555,0.1456770627714173,0.48401105408606393,CURB_u_65_GRU
Medium,911,434,553,1898,550,0.3596525858665614,0.17133833399131465,0.21831819976312672,0.7493091196210028,0.21713383339913148,CURB_u_65_GRU
High,130,45,91,266,757,0.051322542439794706,0.017765495459928938,0.0359257797078563,0.10501381760757994,0.29885511251480457,CURB_u_65_GRU
Low,657,83,78,818,3881,0.1202195791399817,0.015187557182067704,0.014272644098810613,0.14967978042086003,0.7101555352241538,CURB_o_65_SVM
Medium,2863,630,625,4118,798,0.5238792314730101,0.11527904849039342,0.11436413540713632,0.7535224153705398,0.14602012808783166,CURB_o_65_SVM
High,361,85,83,529,786,0.06605672461116194,0.01555352241537054,0.015187557182067704,0.09679780420860018,0.14382433668801464,CURB_o_65_SVM
Low,651,82,85,818,4252,0.11912168344007319,0.015004574565416285,0.01555352241537054,0.14967978042086003,0.7780420860018298,CURB_o_65_XGB
Medium,3204,520,394,4118,677,0.5862763037511436,0.09515096065873742,0.07209515096065874,0.7535224153705398,0.12387923147301007,CURB_o_65_XGB
High,397,75,57,529,536,0.072644098810613,0.013723696248856358,0.010430009149130833,0.09679780420860018,0.09807868252516011,CURB_o_65_XGB
Low,660,62,96,818,4164,0.12076852698993595,0.011344922232387923,0.01756633119853614,0.14967978042086003,0.761939615736505,CURB_o_65_LSTM
Medium,3101,450,567,4118,567,0.5674290942360476,0.08234217749313816,0.10375114364135407,0.7535224153705398,0.10375114364135407,CURB_o_65_LSTM
High,403,55,71,529,734,0.0737419945105215,0.010064043915827997,0.012991765782250687,0.09679780420860018,0.1343092406221409,CURB_o_65_LSTM
Low,730,42,46,818,4498,0.13357731015553523,0.0076852698993595606,0.008417200365965233,0.14967978042086003,0.8230558096980787,CURB_o_65_GRU
Medium,3342,367,409,4118,466,0.6115279048490393,0.06715462031107045,0.07483989021043001,0.7535224153705398,0.08526989935956084,CURB_o_65_GRU
High,426,57,46,529,501,0.07795059469350411,0.010430009149130833,0.008417200365965233,0.09679780420860018,0.09167429094236047,CURB_o_65_GRU
