,0,1,2,3,4,type
0,1266,52,2,0,0,local_GRU
1,140,2250,103,0,0,local_GRU
2,5,264,2925,156,0,local_GRU
3,0,2,463,256,0,local_GRU
4,0,0,3,4,1,local_GRU
0,1277,43,0,0,0,local_LSTM
1,146,2255,92,0,0,local_LSTM
2,6,300,2936,108,0,local_LSTM
3,0,3,509,209,0,local_LSTM
4,0,0,4,3,1,local_LSTM
0,1298,20,2,0,0,global_GRU
1,341,2078,71,3,0,global_GRU
2,22,634,2602,92,0,global_GRU
3,0,55,508,158,0,global_GRU
4,0,0,7,1,0,global_GRU
0,1296,22,2,0,0,global_LSTM
1,308,2100,82,3,0,global_LSTM
2,21,578,2667,84,0,global_LSTM
3,0,51,530,140,0,global_LSTM
4,0,0,6,2,0,global_LSTM
0,1286,32,2,0,0,Supreme
1,331,2059,98,5,0,Supreme
2,21,605,2626,98,0,Supreme
3,0,52,475,194,0,Supreme
4,0,0,5,3,0,Supreme
